Vocaloid Motion Data 0002
01234567890123456789
Motion,bone,x,y,z,rx,ry,rz,x_p1x,x_p1y,x_p2x,x_p2y,y_p1x,y_p1y,y_p2x,y_p2y,z_p1x,z_p1y,z_p2x,z_p2y,r_p1x,r_p1y,r_p2x,r_p2y
Expression,name,fact
0,on33,0
1,on33,0.8
10,on33,0.8
11,on33,0
11,on40,0
12,on40,0.8
21,on40,0.8
22,on40,0
22,on45,0
23,on45,0.8
40,on45,0.8
41,on45,0
41,on40,0
42,on40,0.8
51,on40,0.8
52,on40,0
52,on45,0
53,on45,0.8
59,on45,0.8
60,on45,0
60,on38,0
61,on38,0.8
70,on38,0.8
71,on38,0
71,on30,0
72,on30,0.8
81,on30,0.8
82,on30,0
82,on33,0
83,on33,0.8
89,on33,0.8
90,on33,0
90,on31,0
91,on31,0.8
100,on31,0.8
101,on31,0
101,on38,0
102,on38,0.8
111,on38,0.8
112,on38,0
112,on43,0
113,on43,0.8
119,on43,0.8
120,on43,0
120,on33,0
121,on33,0.8
130,on33,0.8
131,on33,0
131,on40,0
132,on40,0.8
141,on40,0.8
142,on40,0
142,on45,0
143,on45,0.8
160,on45,0.8
161,on45,0
161,on40,0
162,on40,0.8
171,on40,0.8
172,on40,0
172,on45,0
173,on45,0.8
179,on45,0.8
180,on45,0
180,on38,0
181,on38,0.8
190,on38,0.8
191,on38,0
191,on33,0
192,on33,0.8
201,on33,0.8
202,on33,0
202,on38,0
203,on38,0.8
209,on38,0.8
210,on38,0
210,on37,0
211,on37,0.8
220,on37,0.8
221,on37,0
221,on40,0
222,on40,0.8
231,on40,0.8
232,on40,0
232,on37,0
233,on37,0.8
235,on37,0.8
236,on37,0
236,on30,0
237,on30,0.8
250,on30,0.8
251,on30,0
251,on42,0
252,on42,0.8
265,on42,0.8
266,on42,0
266,on35,0
267,on35,0.8
280,on35,0.8
281,on35,0
281,on47,0
282,on47,0.8
291,on47,0.8
292,on47,0
292,on42,0
293,on42,0.8
299,on42,0.8
300,on42,0
300,on40,0
301,on40,0.8
310,on40,0.8
311,on40,0
311,on40,0
312,on40,0.8
314,on40,0.8
315,on40,0
315,on35,0
316,on35,0.8
321,on35,0.8
322,on35,0
322,on36,0
323,on36,0.8
329,on36,0.8
330,on36,0
330,on37,0
331,on37,0.8
344,on37,0.8
345,on37,0
345,on32,0
346,on32,0.8
359,on32,0.8
360,on32,0
360,on39,0
361,on39,0.8
370,on39,0.8
371,on39,0
371,on46,0
372,on46,0.8
385,on46,0.8
386,on46,0
390,on39,0
391,on39,0.8
400,on39,0.8
401,on39,0
405,on45,0
406,on45,0.8
417,on45,0.8
418,on45,0
420,on32,0
421,on32,0.8
434,on32,0.8
435,on32,0
435,on39,0
436,on39,0.8
445,on39,0.8
446,on39,0
446,on44,0
447,on44,0.8
464,on44,0.8
465,on44,0
468,on44,0
469,on44,0.8
470,on44,0
480,on37,0
481,on37,0.8
490,on37,0.8
491,on37,0
491,on44,0
492,on44,0.8
501,on44,0.8
502,on44,0
502,on37,0
503,on37,0.8
509,on37,0.8
510,on37,0
510,on35,0
511,on35,0.8
520,on35,0.8
521,on35,0
521,on44,0
522,on44,0.8
531,on44,0.8
532,on44,0
532,on47,0
533,on47,0.8
539,on47,0.8
540,on47,0
540,on45,0
541,on45,0.8
550,on45,0.8
551,on45,0
551,on40,0
552,on40,0.8
561,on40,0.8
562,on40,0
562,on43,0
563,on43,0.8
569,on43,0.8
570,on43,0
570,on42,0
571,on42,0.8
580,on42,0.8
581,on42,0
581,on35,0
582,on35,0.8
591,on35,0.8
592,on35,0
592,on36,0
593,on36,0.8
599,on36,0.8
600,on36,0
600,on37,0
601,on37,0.8
625,on37,0.8
626,on37,0
626,on31,0
627,on31,0.8
651,on31,0.8
652,on31,0
652,on31,0
653,on31,0.8
659,on31,0.8
660,on31,0
660,on30,0
661,on30,0.8
681,on30,0.8
682,on30,0
682,on31,0
683,on31,0.8
685,on31,0.8
686,on31,0
686,on32,0
687,on32,0.8
689,on32,0.8
690,on32,0
720,on33,0
721,on33,0.8
730,on33,0.8
731,on33,0
731,on40,0
732,on40,0.8
741,on40,0.8
742,on40,0
742,on45,0
743,on45,0.8
760,on45,0.8
761,on45,0
761,on40,0
762,on40,0.8
771,on40,0.8
772,on40,0
772,on45,0
773,on45,0.8
779,on45,0.8
780,on45,0
780,on38,0
781,on38,0.8
790,on38,0.8
791,on38,0
791,on30,0
792,on30,0.8
801,on30,0.8
802,on30,0
802,on33,0
803,on33,0.8
809,on33,0.8
810,on33,0
810,on31,0
811,on31,0.8
820,on31,0.8
821,on31,0
821,on38,0
822,on38,0.8
831,on38,0.8
832,on38,0
832,on43,0
833,on43,0.8
839,on43,0.8
840,on43,0
840,on33,0
841,on33,0.8
850,on33,0.8
851,on33,0
851,on40,0
852,on40,0.8
861,on40,0.8
862,on40,0
862,on45,0
863,on45,0.8
880,on45,0.8
881,on45,0
881,on40,0
882,on40,0.8
891,on40,0.8
892,on40,0
892,on45,0
893,on45,0.8
899,on45,0.8
900,on45,0
900,on38,0
901,on38,0.8
910,on38,0.8
911,on38,0
911,on33,0
912,on33,0.8
921,on33,0.8
922,on33,0
922,on38,0
923,on38,0.8
929,on38,0.8
930,on38,0
930,on37,0
931,on37,0.8
940,on37,0.8
941,on37,0
941,on40,0
942,on40,0.8
951,on40,0.8
952,on40,0
952,on37,0
953,on37,0.8
955,on37,0.8
956,on37,0
956,on30,0
957,on30,0.8
970,on30,0.8
971,on30,0
971,on42,0
972,on42,0.8
985,on42,0.8
986,on42,0
986,on35,0
987,on35,0.8
1000,on35,0.8
1001,on35,0
1001,on47,0
1002,on47,0.8
1011,on47,0.8
1012,on47,0
1012,on42,0
1013,on42,0.8
1019,on42,0.8
1020,on42,0
1020,on40,0
1021,on40,0.8
1030,on40,0.8
1031,on40,0
1031,on40,0
1032,on40,0.8
1034,on40,0.8
1035,on40,0
1035,on35,0
1036,on35,0.8
1041,on35,0.8
1042,on35,0
1042,on36,0
1043,on36,0.8
1049,on36,0.8
1050,on36,0
1050,on37,0
1051,on37,0.8
1064,on37,0.8
1065,on37,0
1065,on32,0
1066,on32,0.8
1079,on32,0.8
1080,on32,0
1080,on39,0
1081,on39,0.8
1090,on39,0.8
1091,on39,0
1091,on46,0
1092,on46,0.8
1105,on46,0.8
1106,on46,0
1110,on39,0
1111,on39,0.8
1120,on39,0.8
1121,on39,0
1125,on45,0
1126,on45,0.8
1137,on45,0.8
1138,on45,0
1140,on32,0
1141,on32,0.8
1154,on32,0.8
1155,on32,0
1155,on39,0
1156,on39,0.8
1165,on39,0.8
1166,on39,0
1166,on44,0
1167,on44,0.8
1184,on44,0.8
1185,on44,0
1188,on44,0
1189,on44,0.8
1190,on44,0
1200,on37,0
1201,on37,0.8
1210,on37,0.8
1211,on37,0
1211,on44,0
