Vocaloid Motion Data 0002
SLB200LTD
Motion,bone,x,y,z,rx,ry,rz,x_p1x,x_p1y,x_p2x,x_p2y,y_p1x,y_p1y,y_p2x,y_p2y,z_p1x,z_p1y,z_p2x,z_p2y,r_p1x,r_p1y,r_p2x,r_p2y
10,2_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
12,2_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
21,2_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
23,2_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
21,1_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
23,1_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
40,1_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
42,1_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
40,2_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
42,2_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
51,2_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
53,2_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
51,1_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
53,1_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
59,1_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
61,1_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
70,4_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
72,4_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
81,4_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
83,4_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
89,4_03,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
91,4_03,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
100,4_03,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
102,4_03,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
130,2_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
132,2_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
141,2_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
143,2_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
141,1_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
143,1_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
160,1_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
162,1_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
160,2_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
162,2_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
171,2_02,0,0,0.07,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
173,2_02,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
