Vocaloid Motion Data 0002
SLB200LTD
Motion,bone,x,y,z,rx,ry,rz,x_p1x,x_p1y,x_p2x,x_p2y,y_p1x,y_p1y,y_p2x,y_p2y,z_p1x,z_p1y,z_p2x,z_p2y,r_p1x,r_p1y,r_p2x,r_p2y
0,‡VŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
1,‡VŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
3,‡VŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
4,‡VŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
5,‡VŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
6,‡VŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
10,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
12,‡UŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
14,‡UŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
15,‡UŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
16,‡UŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
17,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
21,‡TŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
23,‡TŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
25,‡TŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
26,‡TŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
27,‡TŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
28,‡TŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
40,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
42,‡UŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
44,‡UŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
45,‡UŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
46,‡UŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
47,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
51,‡TŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
53,‡TŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
55,‡TŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
56,‡TŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
57,‡TŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
58,‡TŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
59,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
61,‡UŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
63,‡UŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
64,‡UŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
65,‡UŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
66,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
70,‡WŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
72,‡WŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
74,‡WŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
75,‡WŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
76,‡WŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
77,‡WŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
81,‡VŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
83,‡VŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
85,‡VŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
86,‡VŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
87,‡VŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
88,‡VŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
89,‡WŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
91,‡WŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
93,‡WŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
94,‡WŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
95,‡WŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
96,‡WŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
100,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
102,‡UŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
104,‡UŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
105,‡UŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
106,‡UŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
107,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
111,‡TŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
113,‡TŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
115,‡TŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
116,‡TŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
117,‡TŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
118,‡TŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
119,‡VŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
121,‡VŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
123,‡VŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
124,‡VŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
125,‡VŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
126,‡VŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
130,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
132,‡UŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
134,‡UŒ·,0.05499998,-1.30E-09,9.08E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
135,‡UŒ·,-9.78E-09,-1.19E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
136,‡UŒ·,0.02499999,-1.16E-09,9.31E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
137,‡UŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
141,‡TŒ·,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
143,‡TŒ·,-0.075,-2.98E-10,2.33E-09,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
