Vocaloid Motion Data 0002
SLB200LTD
Motion,bone,x,y,z,rx,ry,rz,x_p1x,x_p1y,x_p2x,x_p2y,y_p1x,y_p1y,y_p2x,y_p2y,z_p1x,z_p1y,z_p2x,z_p2y,r_p1x,r_p1y,r_p2x,r_p2y
0,右操作,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
0,右人指IK,0.01940906,-0.051855,0.03716634,0,0,24.064,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
0,右中指IK,0.4433785,-0.3075213,0.01601053,-0.112,-0.028,-25.783,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
1,右操作,0.03594658,0.007843049,0.03385735,0.317,-0.485,3.435,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
1,右人指IK,0.01074052,-0.02158097,0.05917206,0,0,24.064,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
1,右中指IK,0.3842897,-0.2766674,0.000997375,-0.158,-0.025,-36.096,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
2,右人指IK,0.0575326,-0.09421857,0.08298713,0,0,24.064,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
3,右操作,0.03594658,0.007843049,0.03385735,0.317,-0.485,4.581,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
6,右操作,-0.004053988,0.0148719,0.03541381,-1.841,2.195,-0.035,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
6,右中指IK,0.3141217,-0.2400285,-0.01683075,-0.112,-0.028,-25.783,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
6,右人指IK,0.01940906,-0.051855,0.03716634,0,0,24.064,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
1,右操作X,3.884591,-12.03366,-1.679737,26.801,-149.281,20.809,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
10,右操作,0,0,0,0,0,0,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
10,右人指IK,0.01940906,-0.051855,0.03716634,0,0,24.064,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
10,右中指IK,0.4433785,-0.3075213,0.01601053,-0.112,-0.028,-25.783,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
