Vocaloid Motion Data 0002
piano
Motion,bone,x,y,z,rx,ry,rz,x_p1x,x_p1y,x_p2x,x_p2y,y_p1x,y_p1y,y_p2x,y_p2y,z_p1x,z_p1y,z_p2x,z_p2y,r_p1x,r_p1y,r_p2x,r_p2y
1,右操作++,0,0,-5.63,0,0,0,40,0,86,127,40,0,86,127,40,0,86,127,40,0,86,127
1,右操作+,-0.3043675,-0.2595286,0.002310804,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右操作Y,0,0,0,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右操作,0,0,0,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右小指IK,0.2328645,-0.1204061,0.173188,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右薬指IK,0.2752782,-0.1603323,0.06271548,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右中指IK,0.2979353,-0.1846912,0.000003957252,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右人指IK,0.2686282,-0.163867,-0.09039773,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右親指IK,-0.018604,-0.01993599,0.03682919,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右小指握,0,0,0,0,0,-14.898,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右薬指握,0,0,0,0,0,-9.168,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右中指握,0,0,0,0,0,-6.878,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右人指握,0,0,0,0,0,-8.023,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
1,右親指握,0,0,0,0,0,42.972,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右操作++,0,0,-5.63,0,0,0,40,0,86,127,40,0,86,127,40,0,86,127,40,0,86,127
6,右操作+,-0.3043675,-0.2595286,0.002310804,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右操作Y,0,0,0,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右操作,0,0,0,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右小指IK,0.2328645,-0.1204061,0.173188,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右薬指IK,0.2752782,-0.1603323,0.06271548,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右中指IK,0.2979353,-0.1846912,0.000003957252,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右人指IK,0.2686282,-0.163867,-0.09039773,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右親指IK,-0.018604,-0.01993599,0.03682919,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右小指握,0,0,0,0,0,-14.898,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右薬指握,0,0,0,0,0,-9.168,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右中指握,0,0,0,0,0,-6.878,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右人指握,0,0,0,0,0,-8.023,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
6,右親指握,0,0,0,0,0,42.972,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右操作++,0,0,-5.62,0,0,0,40,0,86,127,40,0,86,127,40,0,86,127,40,0,86,127
8,右操作+,-0.3043675,-0.2595286,0.002310804,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右操作Y,0,0,0,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右操作,0,0,0,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右小指IK,0.2328645,-0.1204061,0.173188,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右薬指IK,0.2752782,-0.1603323,0.06271548,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右中指IK,0.2979353,-0.1846912,0.000003957252,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右人指IK,0.2686282,-0.163867,-0.09039773,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右親指IK,-0.018604,-0.01993599,0.03682919,0,0,0,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右小指握,0,0,0,0,0,-13.752,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右薬指握,0,0,0,0,0,-9.169,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
8,右中指握,0,0,0,0,0,-6.247,42,0,88,127,42,0,88,127,42,0,88,127,42,0,88,127
